actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
1.0,1.0,Z,100.0,2016-09-22 00:00:00,1076894,shhsjtyp,上海何适家庭用品有限公司,10,2.62850683084
1.0,1.0,Z,100.0,2016-09-22 00:00:00,1076895,shhsjtyp,上海何适家庭用品有限公司,10,35.5158125176
1.0,1.0,Z,29.6798812805,2016-07-26 00:00:00,1076897,shhsjtyp,上海何适家庭用品有限公司,7,-2.71878527183
1.0,1.0,Z,34.0451872485,2016-08-02 00:00:00,1076897,shhsjtyp,上海何适家庭用品有限公司,11,7.02982947577
1.0,1.0,Z,9.71599402093,2016-08-15 00:00:00,1076897,shhsjtyp,上海何适家庭用品有限公司,13,0.931286224807
1.0,1.0,Z,100.0,2016-09-13 00:00:00,1076897,shhsjtyp,上海何适家庭用品有限公司,13,-2.09382307113
1.0,1.0,Z,100.0,2016-09-22 00:00:00,1076897,shhsjtyp,上海何适家庭用品有限公司,10,35.1987299749
1.0,1.0,E,11.9779789464,2016-09-20 00:00:00,1076900,shhsjtyp,上海何适家庭用品有限公司,13,-2.05144621467
1.0,1.0,E,67.1178477543,2016-09-22 00:00:00,1076900,shhsjtyp,上海何适家庭用品有限公司,10,0.999157629269
1.0,1.0,E,2.53112492683,2016-10-18 00:00:00,1076900,shhsjtyp,上海何适家庭用品有限公司,16,0.910814337248
1.0,1.0,E,79.6883300868,2016-10-19 00:00:00,1076900,shhsjtyp,上海何适家庭用品有限公司,15,2.18851456383
1.0,1.0,L,10.6536793243,2016-09-20 00:00:00,1076902,bjsjmc,北京世佳美臣电子商务有限责任公司,14,-0.828845393251
1.0,1.0,L,29.0492957746,2016-09-27 00:00:00,1076902,bjsjmc,北京世佳美臣电子商务有限责任公司,20,-0.690278227031
1.0,1.0,L,17.0116246102,2016-10-11 00:00:00,1076902,bjsjmc,北京世佳美臣电子商务有限责任公司,6,18.8029530706
1.0,1.0,L,91.2440779084,2016-10-12 00:00:00,1076902,bjsjmc,北京世佳美臣电子商务有限责任公司,13,22.4812546123
1.0,1.0,L,41.7737789203,2016-10-18 00:00:00,1076902,bjsjmc,北京世佳美臣电子商务有限责任公司,13,24.0265866994
